loan_id,customer_id,loan_type,loan_amount,interest_rate,term_months,start_date,monthly_payment,remaining_balance,status
LOAN000060,CUST002571,Mortgage,403911,0.0417,240,2024-03-22,2483.95,277128.95,Current
LOAN000061,CUST002378,Personal,5152,0.101,60,2025-04-23,109.73,3876.44,Current
LOAN000062,CUST004396,Personal,11983,0.0655,24,2025-03-22,534.07,4995.96,Current
LOAN000063,CUST004258,Personal,17916,0.0794,24,2021-05-08,809.79,12394.36,Current
LOAN000064,CUST003863,Student,68535,0.0514,240,2020-03-17,457.69,40368.73,Current
LOAN000065,CUST000024,Mortgage,432981,0.0432,240,2023-06-08,2696.72,90469.79,Current
LOAN000066,CUST002634,Mortgage,281483,0.0593,180,2023-12-24,2364.47,250616.04,Current
LOAN000067,CUST003341,Personal,15665,0.0719,24,2023-06-28,702.71,11618.34,Current
LOAN000068,CUST002216,Auto,47944,0.0533,72,2024-08-08,779.39,14894.01,Current
LOAN000069,CUST003683,Student,40903,0.0424,240,2025-08-04,253.03,18868.14,Current
LOAN000070,CUST004725,Mortgage,354381,0.031,180,2018-04-19,2463.59,215357.31,Delinquent
LOAN000071,CUST001908,Mortgage,454604,0.0396,180,2023-01-23,3353.25,223705.86,Current
LOAN000072,CUST000085,Mortgage,240486,0.039,360,2018-06-24,1134.81,28487.65,Current
LOAN000073,CUST000228,Mortgage,211987,0.0396,360,2024-01-25,1007.04,159593.05,Paid Off
LOAN000074,CUST000297,Mortgage,149973,0.0549,240,2023-10-12,1030.54,111101.13,Delinquent
LOAN000075,CUST001002,Auto,26210,0.0584,60,2018-03-03,504.72,4690.95,Paid Off
LOAN000076,CUST002139,Student,56900,0.0521,180,2023-04-11,456.26,44781.36,Current
LOAN000077,CUST000712,Mortgage,301764,0.0538,180,2023-10-11,2446.32,128803.65,Current
LOAN000078,CUST002802,Auto,36442,0.0587,36,2021-05-05,1106.57,17316.67,Current
LOAN000079,CUST002528,Mortgage,390540,0.037,180,2025-05-13,2831.12,164226.23,Current
LOAN000080,CUST003753,Auto,12989,0.0728,72,2023-04-18,223.17,11178.82,Current
LOAN000081,CUST003322,Mortgage,315208,0.054,240,2025-07-23,2150.57,104375.19,Current
LOAN000082,CUST003182,Mortgage,257820,0.0449,360,2025-07-22,1305.16,203574.75,Current
LOAN000083,CUST004184,Auto,38650,0.0655,72,2023-08-15,650.55,29075.94,Paid Off
LOAN000084,CUST001616,Auto,47631,0.0439,60,2024-09-18,885.57,35659.36,Current
LOAN000085,CUST003025,Personal,25024,0.1083,12,2021-05-23,2209.62,5983.51,Paid Off
LOAN000086,CUST001414,Auto,37455,0.0663,72,2024-06-25,632.01,23817.08,Current
LOAN000087,CUST000764,Auto,41574,0.0606,60,2024-10-05,804.98,6289.57,Current
LOAN000088,CUST000656,Auto,37072,0.0635,60,2023-12-20,722.72,22388.51,Delinquent
LOAN000089,CUST004798,Auto,47706,0.069,36,2021-12-01,1470.74,7474.81,Current
LOAN000090,CUST003850,Mortgage,321606,0.0565,180,2022-10-02,2653.7,279921.03,Current
LOAN000091,CUST004154,Auto,19870,0.0492,36,2023-06-15,594.81,17266.16,Current
LOAN000092,CUST000469,Mortgage,107097,0.0529,180,2023-09-03,863.34,82027.19,Current
LOAN000093,CUST000158,Mortgage,384383,0.0495,180,2021-03-21,3029.65,194474.86,Current
LOAN000094,CUST001296,Auto,37610,0.0773,72,2024-06-23,654.52,14078.85,Delinquent
LOAN000095,CUST000498,Auto,36393,0.0626,48,2024-01-07,859.12,32736.01,Delinquent
LOAN000096,CUST004741,Mortgage,165503,0.0366,180,2023-08-06,1195.96,98447.2,Current
LOAN000097,CUST002941,Personal,17212,0.1165,36,2019-08-10,568.8,13556.37,Delinquent
LOAN000098,CUST003457,Auto,38818,0.0629,72,2022-10-25,648.71,15639.35,Current
LOAN000099,CUST000374,Mortgage,173420,0.0519,240,2025-03-08,1162.77,67325.89,Current
LOAN000100,CUST000080,Auto,20229,0.0423,60,2023-06-25,374.65,6939.68,Current
LOAN000101,CUST001554,Auto,26919,0.0444,72,2025-02-19,426.51,13500.73,Current
LOAN000102,CUST001670,Mortgage,207748,0.0302,240,2022-08-19,1153.96,106464.22,Current
LOAN000103,CUST002132,Auto,40481,0.0618,48,2022-02-05,954.12,21144.37,Current
LOAN000104,CUST004440,Auto,17303,0.074,72,2024-11-11,298.33,6238.26,Current
LOAN000105,CUST000466,Mortgage,111224,0.0341,240,2024-03-29,639.77,70858.07,Current
LOAN000106,CUST000249,Personal,45662,0.0844,24,2025-01-10,2074.28,37154.85,Current
LOAN000107,CUST000932,Mortgage,262131,0.053,180,2024-06-21,2114.56,101762.15,Delinquent
LOAN000108,CUST001336,Auto,34696,0.0484,72,2024-11-30,556.18,12163.71,Current
LOAN000109,CUST004525,Auto,41269,0.0576,72,2024-06-04,679.35,7008.7,Current
LOAN000110,CUST001339,Mortgage,221210,0.0422,240,2025-03-18,1365.96,96867.28,Current
LOAN000111,CUST001407,Mortgage,225504,0.058,180,2023-09-19,1878.14,170913.4,Paid Off
LOAN000112,CUST001091,Auto,19164,0.0557,60,2019-01-15,366.67,10352.19,Current
LOAN000113,CUST004210,Student,60229,0.06,240,2019-11-21,431.38,43430.21,Current
LOAN000114,CUST000743,Personal,40220,0.1096,60,2021-02-17,873.72,13151.3,Paid Off
LOAN000115,CUST002324,Auto,44582,0.0462,48,2025-06-08,1019.07,26467.62,Current
LOAN000116,CUST003602,Auto,27068,0.0795,72,2024-08-10,473.98,21759.78,Paid Off
LOAN000117,CUST002124,Auto,13456,0.06,72,2025-01-18,223.02,9852.16,Current
LOAN000118,CUST002095,Mortgage,303474,0.0305,180,2025-05-03,2102.93,35956.11,Current
LOAN000119,CUST000241,Mortgage,260003,0.0401,240,2023-11-25,1577.45,147374.92,Current
LOAN000120,CUST002352,Mortgage,359734,0.0371,180,2025-01-22,2609.22,210735.92,Current
LOAN000121,CUST001371,Student,26272,0.0496,120,2023-07-06,278.09,11447.21,Current
LOAN000122,CUST001058,Personal,30814,0.0885,36,2023-12-29,977.77,22614.62,Paid Off
LOAN000123,CUST004817,Student,33731,0.0753,120,2022-06-08,400.9,4269.11,Current
LOAN000124,CUST000200,Student,96192,0.0536,180,2023-06-01,778.81,16451.08,Current
LOAN000125,CUST002281,Personal,41671,0.0772,24,2019-05-04,1879.39,7464.29,Current
LOAN000126,CUST004750,Mortgage,281213,0.0468,180,2025-09-16,2176.91,71158.99,Current
LOAN000127,CUST002221,Auto,27570,0.0687,60,2025-06-04,544.19,12894.87,Current
LOAN000128,CUST004772,Auto,48942,0.0603,60,2020-04-11,946.94,29655.67,Current
LOAN000129,CUST002820,Mortgage,364812,0.0488,360,2022-06-19,1931.75,47025.36,Current
LOAN000130,CUST003151,Auto,11619,0.0734,48,2024-06-07,280.06,1297.3,Current
LOAN000131,CUST004257,Auto,41682,0.0785,36,2025-04-14,1303.34,12043.31,Current
LOAN000132,CUST003108,Student,51054,0.067,240,2024-05-01,386.77,15727.51,Current
LOAN000133,CUST001974,Mortgage,325741,0.0597,180,2023-11-18,2744.34,114090.51,Current
LOAN000134,CUST001376,Mortgage,342489,0.0491,360,2021-09-02,1820.23,199007.71,Delinquent
LOAN000135,CUST003969,Personal,9173,0.0721,60,2023-07-07,182.54,5078.27,Current
LOAN000136,CUST004063,Personal,29438,0.103,60,2024-11-27,629.84,14628.8,Current
LOAN000137,CUST004446,Auto,17126,0.0535,72,2023-12-30,278.63,9750.9,Delinquent
LOAN000138,CUST003558,Auto,33595,0.077,48,2019-11-18,815.44,9845.55,Current
LOAN000139,CUST000965,Personal,15703,0.0689,24,2024-06-06,702.3,12143.14,Current
LOAN000140,CUST000180,Personal,29965,0.093,24,2025-06-18,1373.01,22643.16,Current
LOAN000141,CUST003699,Mortgage,476509,0.0427,180,2020-02-07,3590.29,188384.54,Current
LOAN000142,CUST003822,Mortgage,228750,0.0587,180,2024-11-24,1913.93,109027.78,Current
LOAN000143,CUST004879,Auto,23210,0.0433,48,2023-11-07,527.49,5337.54,Current
LOAN000144,CUST003900,Personal,35975,0.0809,12,2024-09-06,3130.99,16076.98,Current
LOAN000145,CUST004488,Mortgage,264464,0.0527,180,2024-07-22,2128.28,58166.62,Delinquent
LOAN000146,CUST003239,Personal,6553,0.072,60,2019-12-31,130.39,3156.34,Current
LOAN000147,CUST002975,Mortgage,375060,0.0308,360,2024-01-10,1597.16,313779.65,Current
LOAN000148,CUST003581,Mortgage,338388,0.0392,360,2021-10-19,1599.22,155109.89,Delinquent
LOAN000149,CUST002888,Mortgage,334277,0.0333,180,2021-02-05,2361.27,274458.37,Current
LOAN000150,CUST002576,Mortgage,177912,0.0379,180,2024-12-01,1297.03,24510.65,Current
LOAN000151,CUST001420,Auto,28468,0.0654,48,2024-04-23,675.67,13247.65,Current
LOAN000152,CUST003908,Mortgage,451555,0.047,240,2020-11-17,2905.1,233630.46,Current
LOAN000153,CUST004674,Personal,25281,0.1052,60,2025-09-26,543.67,7321.0,Current
LOAN000154,CUST004903,Auto,12571,0.0535,72,2025-07-21,204.51,10954.57,Current
LOAN000155,CUST001861,Student,25830,0.0624,120,2020-08-08,289.85,16976.42,Current
LOAN000156,CUST000009,Auto,20364,0.043,36,2025-06-05,603.92,7104.08,Paid Off
LOAN000157,CUST002895,Auto,42116,0.0437,72,2023-12-30,665.97,26932.74,Current
LOAN000158,CUST002848,Mortgage,246261,0.0431,360,2022-01-02,1220.02,134580.13,Current
LOAN000159,CUST003665,Personal,29450,0.0813,60,2025-05-05,599.01,23985.27,Current
LOAN000160,CUST000145,Auto,35805,0.0488,72,2024-12-28,574.66,6555.72,Delinquent
LOAN000161,CUST002105,Personal,16839,0.1111,24,2024-08-25,785.68,9506.27,Delinquent
LOAN000162,CUST003144,Auto,19738,0.072,36,2025-01-12,611.28,5466.25,Current
LOAN000163,CUST000842,Personal,13445,0.0873,24,2025-01-18,612.54,5344.84,Current
LOAN000164,CUST001129,Auto,45090,0.0691,72,2022-05-18,766.8,17861.85,Current
LOAN000165,CUST000152,Auto,28529,0.0525,36,2025-02-04,858.27,5892.85,Current
LOAN000166,CUST003592,Student,82184,0.0731,240,2024-11-25,652.39,32513.6,Paid Off
LOAN000167,CUST001053,Mortgage,281654,0.0324,240,2022-02-05,1596.79,140037.3,Current
LOAN000168,CUST001591,Mortgage,110572,0.0497,360,2023-02-11,591.29,92238.93,Current
LOAN000169,CUST003009,Mortgage,343733,0.0438,240,2019-04-15,2151.52,59671.92,Current
LOAN000170,CUST002030,Personal,18041,0.1047,48,2023-04-24,461.66,4079.65,Current
LOAN000171,CUST003419,Auto,17303,0.0675,60,2022-10-26,340.56,7807.8,Current
LOAN000172,CUST001808,Auto,22858,0.0691,72,2024-01-28,388.77,19953.9,Current
LOAN000173,CUST002697,Personal,6040,0.0924,12,2024-08-06,528.87,5390.2,Current
LOAN000174,CUST003040,Auto,37818,0.05,36,2023-12-27,1133.44,10594.98,Current
LOAN000175,CUST000473,Auto,20555,0.0413,36,2025-03-19,608.01,14085.73,Delinquent
LOAN000176,CUST003290,Student,56846,0.047,240,2021-01-28,365.68,16741.52,Current
LOAN000177,CUST004075,Personal,43959,0.0967,48,2023-09-25,1107.87,28796.07,Current
LOAN000178,CUST003497,Personal,43322,0.1116,48,2022-04-22,1122.97,21066.44,Current
LOAN000179,CUST000280,Mortgage,461985,0.0456,240,2023-10-25,2937.0,379857.18,Delinquent
LOAN000180,CUST001742,Mortgage,127792,0.0303,240,2019-11-19,710.57,54798.29,Current
LOAN000181,CUST004625,Auto,42236,0.0662,36,2025-03-21,1296.82,11364.12,Current
LOAN000182,CUST002887,Mortgage,422253,0.0314,360,2023-03-13,1812.8,323593.03,Current
LOAN000183,CUST001942,Personal,5258,0.0794,12,2022-08-23,457.23,3066.78,Current
LOAN000184,CUST000101,Mortgage,236914,0.0434,240,2023-07-18,1478.99,124912.95,Current
LOAN000185,CUST002805,Mortgage,227516,0.0306,360,2020-04-29,966.49,168439.4,Current
LOAN000186,CUST003571,Mortgage,300665,0.034,180,2022-04-16,2134.48,113686.95,Current
LOAN000187,CUST003685,Mortgage,294510,0.0312,240,2025-06-21,1651.47,204898.64,Current
LOAN000188,CUST003662,Auto,20186,0.0574,60,2020-12-12,387.85,12432.35,Current
LOAN000189,CUST000531,Mortgage,394883,0.0495,240,2020-09-14,2595.78,251125.9,Current
LOAN000190,CUST001887,Mortgage,194409,0.0553,240,2025-03-28,1340.49,80763.85,Current
LOAN000191,CUST000682,Auto,10995,0.0676,72,2022-12-14,186.17,4445.54,Current
LOAN000192,CUST003795,Mortgage,127075,0.046,360,2019-06-14,651.21,83429.71,Current
LOAN000193,CUST003945,Student,98603,0.0796,240,2025-07-23,822.03,69064.61,Current
LOAN000194,CUST004667,Auto,18915,0.0464,36,2025-08-04,563.86,10798.87,Current
LOAN000195,CUST002019,Personal,11169,0.1173,24,2025-06-09,524.34,8013.36,Current
LOAN000196,CUST001097,Mortgage,492675,0.0311,180,2018-11-07,3429.05,363505.14,Current
LOAN000197,CUST000830,Mortgage,215630,0.0454,180,2022-10-28,1653.79,33713.05,Current
LOAN000198,CUST002806,Mortgage,282035,0.0508,360,2024-09-17,1528.5,106596.27,Current
LOAN000199,CUST003830,Auto,14625,0.0677,48,2024-01-02,348.68,9793.92,Current
LOAN000200,CUST004382,Auto,21022,0.0449,48,2022-08-27,479.26,13515.67,Current
LOAN000201,CUST003892,Auto,39081,0.0611,48,2023-07-19,919.79,25354.21,Delinquent
LOAN000202,CUST000765,Auto,10761,0.0554,72,2025-03-20,175.99,1547.27,Current
LOAN000203,CUST002768,Mortgage,370571,0.0445,360,2021-02-06,1866.55,266707.11,Delinquent
LOAN000204,CUST004329,Auto,36037,0.0639,36,2021-07-28,1102.66,27389.31,Delinquent
LOAN000205,CUST003296,Mortgage,400799,0.0597,360,2020-09-01,2394.72,56526.49,Current
LOAN000206,CUST002195,Mortgage,205404,0.0557,240,2022-04-25,1421.57,97106.89,Current
LOAN000207,CUST002358,Personal,49538,0.1157,24,2023-12-21,2321.92,10433.82,Current
LOAN000208,CUST003426,Personal,38462,0.0749,36,2023-05-19,1196.14,17264.85,Current
LOAN000209,CUST003980,Auto,47155,0.0408,72,2024-10-29,739.5,28184.29,Current
LOAN000210,CUST000912,Auto,48874,0.0617,72,2025-09-02,813.9,25590.56,Delinquent
LOAN000211,CUST003146,Mortgage,395230,0.0581,360,2025-04-13,2320.6,222485.36,Current
LOAN000212,CUST001000,Mortgage,254943,0.0455,240,2020-04-03,1619.73,153113.63,Paid Off
LOAN000213,CUST003654,Auto,28828,0.0484,36,2024-09-12,861.97,5546.79,Current
LOAN000214,CUST002484,Mortgage,177098,0.0459,180,2025-05-09,1363.2,126855.97,Current
LOAN000215,CUST004077,Auto,25453,0.0571,72,2025-04-08,418.39,17308.36,Current
LOAN000216,CUST002371,Mortgage,147930,0.0476,180,2021-01-04,1151.38,123842.19,Current
LOAN000217,CUST004839,Mortgage,231458,0.0511,360,2025-08-09,1257.77,28448.05,Current
LOAN000218,CUST000034,Mortgage,344580,0.0354,180,2025-04-01,2469.97,205547.6,Delinquent
LOAN000219,CUST003790,Auto,17004,0.0772,72,2025-07-11,295.86,11463.74,Current
LOAN000220,CUST001021,Mortgage,236990,0.0571,240,2024-10-24,1659.0,77489.41,Current
LOAN000221,CUST001648,Mortgage,283336,0.0548,180,2025-04-07,2312.05,195832.68,Current
LOAN000222,CUST000734,Auto,42062,0.0546,48,2022-12-20,977.48,24056.49,Current
LOAN000223,CUST004583,Auto,47703,0.075,36,2025-09-26,1483.75,19281.93,Paid Off
LOAN000224,CUST003275,Mortgage,406768,0.0565,360,2020-09-27,2348.25,156179.71,Current
LOAN000225,CUST001621,Auto,19057,0.0654,36,2023-10-19,584.44,13957.87,Delinquent
LOAN000226,CUST003136,Mortgage,255522,0.0369,180,2020-07-05,1850.96,72301.72,Current
LOAN000227,CUST002690,Personal,23034,0.0889,36,2024-07-10,731.32,2794.84,Current
LOAN000228,CUST002708,Mortgage,408493,0.0476,360,2025-06-30,2132.9,183169.31,Current
LOAN000229,CUST000298,Student,13848,0.0789,180,2024-01-12,131.48,11474.81,Current
LOAN000230,CUST002340,Auto,39966,0.072,36,2023-11-24,1237.72,21196.3,Current
LOAN000231,CUST000654,Mortgage,419239,0.0379,180,2025-08-26,3058.15,247750.91,Current
LOAN000232,CUST003775,Auto,36300,0.0534,72,2023-03-20,590.31,8788.7,Current
LOAN000233,CUST001256,Mortgage,421776,0.0444,240,2025-09-24,2655.05,340653.0,Current
LOAN000234,CUST004521,Auto,26880,0.0662,72,2020-11-12,453.43,14706.14,Current
LOAN000235,CUST000231,Auto,33243,0.0402,36,2023-04-20,981.75,20521.21,Current
LOAN000236,CUST003277,Mortgage,373248,0.0524,240,2025-07-17,2512.16,260309.95,Current
LOAN000237,CUST003231,Auto,25076,0.0789,72,2025-06-28,438.28,17361.57,Paid Off
LOAN000238,CUST000692,Mortgage,350923,0.058,240,2025-05-01,2474.29,119390.96,Current
LOAN000239,CUST002755,Mortgage,359288,0.0478,360,2018-08-14,1881.53,180584.73,Paid Off
LOAN000240,CUST004864,Student,43713,0.0601,240,2023-08-31,313.44,5408.39,Current
LOAN000241,CUST000970,Mortgage,266965,0.0589,240,2023-09-18,1895.16,194633.78,Current
LOAN000242,CUST000634,Personal,10427,0.0764,48,2017-09-01,252.82,6375.82,Paid Off
LOAN000243,CUST004093,Student,94601,0.0545,120,2024-10-14,1024.27,41167.7,Current
LOAN000244,CUST004078,Student,19882,0.0735,180,2025-08-05,182.59,7939.1,Current
LOAN000245,CUST001322,Auto,19704,0.0745,36,2024-07-02,612.5,11504.49,Current
LOAN000246,CUST001832,Personal,17647,0.0956,12,2025-04-15,1547.81,6516.2,Current
LOAN000247,CUST002179,Mortgage,147008,0.0372,240,2020-08-21,869.3,125668.88,Current
LOAN000248,CUST001418,Auto,22700,0.0583,72,2024-07-03,374.35,10224.57,Current
LOAN000249,CUST001783,Mortgage,479075,0.0347,240,2024-05-13,2770.42,71259.78,Current
LOAN000250,CUST004716,Personal,37608,0.0853,48,2025-03-04,927.47,15323.2,Current
LOAN000251,CUST004702,Mortgage,214312,0.045,240,2024-07-11,1356.4,81342.57,Current
LOAN000252,CUST004119,Auto,42470,0.0673,48,2025-09-19,1011.65,5003.51,Current
LOAN000253,CUST001653,Personal,6526,0.0672,60,2025-06-12,128.37,5221.12,Delinquent
LOAN000254,CUST001484,Mortgage,137358,0.0357,240,2023-07-27,801.4,33903.73,Current
LOAN000255,CUST002276,Mortgage,413588,0.0448,240,2021-08-11,2611.83,324463.3,Current
LOAN000256,CUST000878,Mortgage,216547,0.0337,180,2025-02-23,1534.41,163655.41,Current
LOAN000257,CUST003526,Mortgage,349092,0.0325,240,2019-01-23,1979.25,252510.84,Current
LOAN000258,CUST002017,Auto,16599,0.0415,60,2025-03-22,306.8,13097.51,Current
LOAN000259,CUST000427,Mortgage,227449,0.0362,240,2024-03-18,1333.44,187857.76,Current
LOAN000260,CUST000627,Mortgage,267070,0.0597,180,2025-09-26,2248.72,80326.13,Current
LOAN000261,CUST001590,Personal,30429,0.0656,12,2025-06-08,2626.79,26830.34,Current
LOAN000262,CUST002224,Auto,21248,0.0712,36,2019-08-08,657.23,17494.92,Current
LOAN000263,CUST002218,Student,91315,0.0418,180,2025-09-06,683.75,63482.42,Delinquent
LOAN000264,CUST004484,Personal,29864,0.1077,24,2025-07-19,1388.75,21079.81,Current
LOAN000265,CUST001486,Mortgage,115021,0.0589,240,2024-12-01,816.74,25765.74,Current
LOAN000266,CUST001740,Mortgage,246678,0.0516,180,2025-06-23,1971.93,79532.06,Current
LOAN000267,CUST002481,Personal,9706,0.0979,36,2023-10-11,312.24,2692.92,Current
LOAN000268,CUST002585,Personal,19855,0.0967,60,2018-08-10,418.61,15944.73,Current
LOAN000269,CUST002894,Student,78562,0.0704,120,2024-10-11,913.62,68931.91,Current
LOAN000270,CUST000150,Mortgage,406471,0.0361,360,2020-02-18,1850.51,149435.03,Current
LOAN000271,CUST000677,Personal,32802,0.078,12,2023-08-26,2850.3,27402.4,Current
LOAN000272,CUST001262,Mortgage,255518,0.0323,180,2025-07-09,1793.25,200500.13,Current
LOAN000273,CUST004918,Student,91025,0.0511,120,2025-06-28,970.57,64232.11,Current
LOAN000274,CUST000013,Student,12874,0.0642,180,2020-02-12,111.61,3266.01,Current
LOAN000275,CUST001834,Mortgage,127007,0.0441,180,2024-12-02,966.05,104891.87,Current
LOAN000276,CUST003249,Auto,34911,0.0795,72,2021-08-13,611.26,6512.72,Delinquent
LOAN000277,CUST001492,Mortgage,109198,0.0302,240,2023-01-07,606.62,12543.57,Current
LOAN000278,CUST002728,Student,86578,0.0738,180,2023-01-20,796.69,60713.29,Current
LOAN000279,CUST003687,Auto,25557,0.0737,72,2020-12-17,440.26,8366.53,Current
LOAN000280,CUST001425,Personal,32616,0.0954,36,2022-06-10,1045.4,6210.96,Current
LOAN000281,CUST004606,Mortgage,493219,0.0528,360,2023-12-05,2733.74,393846.17,Current
LOAN000282,CUST004596,Auto,20027,0.0696,48,2021-07-30,479.21,14864.31,Current
LOAN000283,CUST000732,Auto,14952,0.0661,36,2025-08-04,459.04,3580.5,Current
LOAN000284,CUST001232,Student,50628,0.0513,240,2023-03-27,337.69,42596.53,Current
LOAN000285,CUST001635,Mortgage,253844,0.0383,180,2021-04-30,1856.24,126463.6,Current
LOAN000286,CUST003937,Student,29307,0.0693,120,2025-08-20,339.18,24493.36,Current
LOAN000287,CUST001211,Personal,30637,0.1161,24,2022-08-27,1436.56,24803.41,Current
LOAN000288,CUST003269,Personal,33398,0.0741,60,2025-09-14,667.84,12814.56,Paid Off
LOAN000289,CUST001935,Personal,49100,0.0845,36,2025-05-04,1548.77,30131.91,Current
LOAN000290,CUST000554,Auto,37242,0.0412,72,2020-05-23,584.63,27752.84,Current
LOAN000291,CUST000492,Student,30262,0.0672,120,2025-05-06,347.02,8606.84,Paid Off
LOAN000292,CUST002963,Mortgage,427484,0.0525,180,2022-12-06,3436.26,221688.51,Current
